Job Title,Company Name,Location,Job Time,Category,Salary,Post Date,Deadline,Job URL,Company Logo URL
Ofis proqramları müəllimi,British Academy,"Bakı, Baki",Tam-ştat,Digər,Razılaşma ilə,09 aprel 2025,09 may 2025,https://www.hellojob.az/vakansiya/ofis-proqramlari-muellimi-905061,
Texniki dəstək bölmə müdiri,Rəqəmsal Səhiyyə Mərkəzi,Bakı,Tam-ştat,Digər,Razılaşma ilə,09 aprel 2025,09 may 2025,https://www.hellojob.az/vakansiya/texniki-destek-bolme-mudiri,
QSS Analytics Full-Time Təcrübə Proqramı,QSS Analytics,"Bakı, Aşıq Alı 2A, Nərimanov rayonu",Təcrübəçi,Proqramlaşdırma,Razılaşma ilə,09 aprel 2025,09 may 2025,https://www.hellojob.az/vakansiya/qss-analytics-full-time-tecrube-proqrami,https://www.hellojob.az/resized/companies/91ab67c71e78f8ca9c0bc95c38d29595-120--resize.webp
Marketinq mütəxəssisi,Sigma LLC,Bakı,Uzaqdan,Rəqəmsal marketinq,800 - 1100 AZN,09 aprel 2025,09 may 2025,https://www.hellojob.az/vakansiya/marketinq-mutexessisi-905057,
Ofisiant,Peçat Dönər,"Bakı, İçərişəhər metrosu, Axundov bağı",Tam-ştat,Ofisiant,450 AZN,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/ofisiant-905056,https://www.hellojob.az/resized/companies/7FBsqmquZGTqYe3LNfS2mEgsIl1sgGgB13EjKrBS-120--resize.webp
Serviz üzrə məsləhətçi,1 Servis,Bakı,Tam-ştat,Müxtəlif,Razılaşma ilə,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/serviz-uzre-meslehetci-905055,
Otaq xidmətçisi,Holiday Inn Baku,Bakı,Tam-ştat,Xidmət,Razılaşma ilə,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/otaq-xidmetcisi-905054,https://www.hellojob.az/resized/companies/6010b370aaa1dcca35d4bc6bfbe43e72-120--resize.webp
Qabyuyan,Holiday Inn Baku,Bakı,Tam-ştat,Xidmət,Razılaşma ilə,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/qabyuyan,https://www.hellojob.az/resized/companies/6010b370aaa1dcca35d4bc6bfbe43e72-120--resize.webp
Ofisiant,Holiday Inn Baku,Bakı,Tam-ştat,Xidmət,Razılaşma ilə,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/ofisiant-905052,https://www.hellojob.az/resized/companies/6010b370aaa1dcca35d4bc6bfbe43e72-120--resize.webp
İnsan Resursları üzrə Koordinator,Holiday Inn Baku,Bakı,Tam-ştat,İnzibati,Razılaşma ilə,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/insan-resurslari-uzre-koordinator,https://www.hellojob.az/resized/companies/6010b370aaa1dcca35d4bc6bfbe43e72-120--resize.webp
İlkin təqib üzrə mütəxəssis,TAB MMC,"Bakı, Bakı şəh. Nizami ray. Qara Qarayev pr 102A",Təcrübəçi,Digər,400 AZN,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/ilkin-teqib-uzre-mutexessis-905050,
Online Satış üzrə Mütəxəssis (Mağaza daxilində işləyəcək),TELEHOME ELEKTRONİCS,"Bakı, Nizami metrosu yaxınlığı",Tam-ştat,Satış üzrə mütəxəssis,450 - 1500 AZN,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/online-satis-uzre-mutexessis-magaza-daxilinde-isleyecek,https://www.hellojob.az/resized/companies/1dba5edd3e8b22498c2270da0191f7fe-120--resize.webp
Ekspeditor,İnci Group of Companies QSC,Bakı,Tam-ştat,Digər,600 - 1500 AZN,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/ekspeditor-905048,https://www.hellojob.az/resized/companies/cb61e47dcad1861947cecd2ceb94193a-120--resize.webp
Satış təmsilçisi,Bonamed,"Bakı, Bakıxanov küçəsi 18",Tam-ştat,Satış üzrə mütəxəssis,600 AZN,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/satis-temsilcisi-905047,
Əməliyyatçı-xəzinədar(Xırdalan filialı),Güvənli MMC,Xırdalan,Tam-ştat,Bank xidməti,400 AZN,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/emeliyyatci-xezinedarxirdalan-filiali,https://www.hellojob.az/storage/companies/1905e2d4ad1b0d81c325e76c60893a2f.svg
Əməliyyatçı-xəzinədar(Bakı filialı),Güvənli MMC,Bakı,Tam-ştat,Bank xidməti,400 AZN,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/emeliyyatci-xezinedarbaki-filiali,https://www.hellojob.az/storage/companies/1905e2d4ad1b0d81c325e76c60893a2f.svg
Təcrübəçi kredit mütəxəssisi,Güvənli MMC,Bakı,Təcrübəçi,Bank xidməti,Razılaşma ilə,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/tecrubeci-kredit-mutexessisi-905046,https://www.hellojob.az/storage/companies/1905e2d4ad1b0d81c325e76c60893a2f.svg
Telesatış üzrə mütəxəssis,Bəyaz Flora,"Bakı, 28 Koroğlu Rəhimov küçəsi",Tam-ştat,Satış üzrə mütəxəssis,Razılaşma ilə,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/telesatis-uzre-mutexessis-905043,
Kontent Menecer / Marketinq Mütəxəssisi,PozitivSən,Bakı,Frilans,Digər,Razılaşma ilə,27 mart 2025,26 aprel 2025,https://www.hellojob.az/vakansiya/kontent-menecer-marketinq-mutexessisi,https://www.hellojob.az/resized/companies/eMQm8zc4KZcMf3kpkEVHMUEnTY6pa1me2Ww9HVho-120--resize.webp
Anbardar,Dynamex,"Bakı, Koroglu",Tam-ştat,Anbardar,400 - 500 AZN,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/anbardar-905039,https://www.hellojob.az/resized/companies/64fbd8f7b29d71e16e4bf150a53edddf-120--resize.webp
Reklam meneceri,Nero MMC,"Bakı, Sabit Rahman 55, Office",Tam-ştat,Digər,Razılaşma ilə,08 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/rashad-bayjan,
Satınalma üzrə mütəxəssis,Private Facility Management MMC,"Bakı, Ayaz İsmayılov 8_Xətai metrosu və Meqafanın yaxınlığı",Tam-ştat,Digər,1000 - 1300 AZN,07 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/satinalma-uzre-mutexessis-905038,
Rəqəmsal (Digital) Marketinq mütəxəssisi,Azerbaijan Artificial Intelligence Lab,Bakı,Tam-ştat,Rəqəmsal marketinq,Razılaşma ilə,07 aprel 2025,07 may 2025,https://www.hellojob.az/vakansiya/reqemsal-digital-marketinq-mutexessisi,https://www.hellojob.az/resized/companies/zaXr8HfDeNyjtuSXzz5TlUrBzxgAne7O7PDtv02r-120--resize.webp
Content Manager,Azerbaijan Artificial Intelligence Lab,Bakı,Tam-ştat,Kopiraytinq,Razılaşma ilə,07 aprel 2025,07 may 2025,https://www.hellojob.az/vakansiya/content-manager,https://www.hellojob.az/resized/companies/zaXr8HfDeNyjtuSXzz5TlUrBzxgAne7O7PDtv02r-120--resize.webp
Community manager,Azerbaijan Artificial Intelligence Lab,Bakı,Tam-ştat,İctimaiyyətlə əlaqələr (PR),Razılaşma ilə,07 aprel 2025,07 may 2025,https://www.hellojob.az/vakansiya/community-manager-905035,https://www.hellojob.az/resized/companies/zaXr8HfDeNyjtuSXzz5TlUrBzxgAne7O7PDtv02r-120--resize.webp
