Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,DOI
63,"R Sombutkaew, O Chitsobhuk, D Prapruttam…",Adaptive quantization via fuzzy classified priority mapping for liver ultrasound compression,4,2016, ijicic.org, Int. J. Innov. Comput. Inf …,http://ijicic.org/ijicic-120223.pdf,0,10.1109/iccas.2014.6987834
89,"ML Pérez-Delgado, ME Celebi",A comparative study of color quantization methods using various image quality assessment indices,4,2024, Springer, Multimedia Systems,https://link.springer.com/article/10.1007/s00530-023-01206-7,2,10.1007/s00530-023-01206-7
49,"CH Chou, MC Su, YX Zhao, FH Hsu",A reinforcement-learning approach to color quantization,4,2011, jase.tku.edu.tw, Journal of Applied Science …,http://jase.tku.edu.tw/articles/jase-201106-14-2-07,0,10.3182/20020721-6-es-1901.01068
28,"SJ Wang, YS Wu",Could not catch title,4,0," Journal of CCI T, 2008",SJ Wang,"Look manually at: https://scholar.google.com/scholar?start=20&q=Dominant+color+quantization+using+fuzzy+clustering&hl=en&as_sdt=0,5&as_ylo=2000",0,10.7748/ns.16.31.23.s39
73,"E Pelayo, D Buldain, C Orrite",Focused image color quantization using magnitude sensitive competitive learning algorithm,4,2012, scitepress.org, International Conference on Neural …,https://www.scitepress.org/Papers/2012/41508/,0,10.5220/0004150805160521
80,"M Frąckiewicz, H Palus, R Tadeusiewicz…",Initialization methods for clustering in colour quantization techniques,4,2009, academia.edu, … Methods and Systems …,https://www.academia.edu/download/50832141/Initialization_methods_for_clustering_in20161211-15258-qv0gfv.pdf,0,10.1007/978-3-642-24728-6_7
22,"DL Yang, JW Zhang",Study of image quantization technology based on FCM clustering algorithm,3,2010, ieeexplore.ieee.org, 2010 International Conference on …,https://ieeexplore.ieee.org/abstract/document/5743452/,0,10.1109/isdea.2010.55
4,"L Szilágyi, G Dénesi, C Enăchescu",Fast color quantization via fuzzy clustering,3,2016, Springer, … 2016  Kyoto  Japan  October 16–21 …,https://link.springer.com/chapter/10.1007/978-3-319-46681-1_12,0,10.1007/978-3-319-46681-1_12
77,"KM Goh, Z Ismaail",8 Colour Quantization of Colour Construct Code in CIELAB Colour Space Using K-Means Clustering and Hungarian Assignment,2,2016, Springer, Advanced Computer and Communication Engineering …,https://link.springer.com/chapter/10.1007/978-3-319-24584-3_57,0,10.1007/978-3-319-24584-3_57
31,"M Kılıçaslan, MO İncetaş",Adaptive Color Quantization Method with Multi-level Thresholding,2,2023, Springer, International Journal of Computational …,https://link.springer.com/article/10.1007/s44196-023-00185-x,1,10.1007/s44196-023-00185-x
95,SK Bandyopadhyay,Colour quantization Technique for medical image segmentation,1,2011, search.proquest.com, … Journal of Research and Reviews in …,https://search.proquest.com/openview/e6dd73407c2df29917fc941cf75f1e64/1?pq-origsite=gscholar&cbl=276284,0,10.2478/s11772-011-0025-3
20,"J Rout, S Das, M Mishra",An Empirical Analysis of Digital Image Color Quantization using Partition Based Clustering Techniques,1,2022, ieeexplore.ieee.org, 2022 IEEE 2nd International …,https://ieeexplore.ieee.org/abstract/document/10051562/,0,10.1109/isssc56467.2022.10051562
87,"T Pattnaik, P Kanungo",Dominant peak-means clustering for color image segmentation,1,2017, ieeexplore.ieee.org, 2017 International Conference on …,https://ieeexplore.ieee.org/abstract/document/8321889/,0,10.1109/i2c2.2017.8321889
67,"F Abedi, AF Al-Baghdadi",Multi-objective optimization for vector quantization via genetic algorithm,1,2024, opg.optica.org, Optics Continuum,https://opg.optica.org/abstract.cfm?uri=optcon-3-5-808,0,10.1364/optcon.517311
35,"SS Harshvardhan, S Kiran…",Color Texture Segmentation using Binary Tree Cluster Quantization Technique,1,2015, researchgate.net, Int. J. Innov. Res. Comput …,https://www.researchgate.net/profile/Shabnam-Sangwan/publication/389039455_Color_Texture_Segmentation_using_Binary_Tree_Cluster_Quantization_Technique/links/67b1c5c34c479b26c9e2f61e/Color-Texture-Segmentation-using-Binary-Tree-Cluster-Quantization-Technique.pdf,0,10.1109/icip.2005.1530597
