Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
32,"J Han, KK Ma",Fuzzy color histogram and its use in color image retrieval,480,2002, ieeexplore.ieee.org, IEEE Transactions on image Processing,https://ieeexplore.ieee.org/abstract/document/1025168/,20
71,P Schmid,Segmentation of digitized dermatoscopic images by two-dimensional color clustering,371,2002, ieeexplore.ieee.org, IEEE Transactions on Medical Imaging,https://ieeexplore.ieee.org/abstract/document/759124/,15
21,"T Lei, X Jia, Y Zhang, S Liu, H Meng…",Superpixel-based fast fuzzy C-means clustering for color image segmentation,354,2018, ieeexplore.ieee.org, … Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/8584141/,44
5,ME Celebi,Improving the performance of k-means for color quantization,265,2011, Elsevier, Image and Vision Computing,https://www.sciencedirect.com/science/article/pii/S0262885610001411,18
2,"D Özdemir, L Akarun",A fuzzy algorithm for color quantization of images,178,2002, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320301001704,7
48,"Z Yu, OC Au, R Zou, W Yu, J Tian",An adaptive unsupervised approach toward pixel clustering and color image segmentation,167,2010, Elsevier, Pattern recognition,https://www.sciencedirect.com/science/article/pii/S0031320309004348,10
64,"WC Chen, MS Wang",A fuzzy c-means clustering-based fragile watermarking scheme for image authentication,166,2009, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417407005751,10
15,"CH Chang, P Xu, R Xiao…",New adaptive color quantization method based on self-organizing maps,154,2005, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/1388472/,7
23,"DW Kim, KH Lee, D Lee",A novel initialization scheme for the fuzzy c-means algorithm for color clustering,140,2004, Elsevier, Pattern recognition letters,https://www.sciencedirect.com/science/article/pii/S0167865503002228,6
61,"S Zeng, R Huang, H Wang, Z Kang",Image retrieval using spatiograms of colors quantized by gaussian mixture models,121,2016, Elsevier, Neurocomputing,https://www.sciencedirect.com/science/article/pii/S0925231215009820,12
66,"S Yin, Y Qian, M Gong",Unsupervised hierarchical image segmentation through fuzzy entropy maximization,106,2017, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320317301115,12
6,"S Hsieh, KC Fan",An adaptive clustering algorithm for color quantization,91,2000, Elsevier, Pattern Recognition Letters,https://www.sciencedirect.com/science/article/pii/S0167865599001658,4
82,"A Atsalakis, N Papamarkos",Color reduction and estimation of the number of dominant colors by using a self-growing and self-organized neural gas,87,2006, Elsevier, Engineering Applications of Artificial …,https://www.sciencedirect.com/science/article/pii/S0952197606000972,4
96,"JF Yang, SS Hao, PC Chung",Color image segmentation using fuzzy C-means and eigenspace projections,82,2002, Elsevier, Signal Processing,https://www.sciencedirect.com/science/article/pii/S0165168401001967,3
36,"C Ozturk, E Hancer, D Karaboga",Color image quantization: a short review and an application with artificial bee colony algorithm,73,2014, content.iospress.com, Informatica,https://content.iospress.com/articles/informatica/inf25-3-08,6
68,"YC Hu, BH Su",Accelerated k-means clustering algorithm for colour image quantization,71,2008, Taylor & Francis, The Imaging Science Journal,https://www.tandfonline.com/doi/abs/10.1179/174313107X176298,4
26,"L Brun, A Trémeau",Color quantization,66,2017, taylorfrancis.com, Digital color imaging handbook,https://www.taylorfrancis.com/chapters/edit/10.1201/9781420041484-9/color-quantization-luc-brun-alain-tr%C3%A9meau,7
100,"V Kalist, P Ganesan, BS Sathish, JMM Jenitha",Possiblistic-fuzzy C-means clustering approach for the segmentation of satellite images in HSL color space,64,2015, Elsevier, Procedia Computer …,https://www.sciencedirect.com/science/article/pii/S1877050915018931,6
79,"D Mújica-Vargas, FJ Gallegos-Funes…",A fuzzy clustering algorithm with spatial robust estimation constraint for noisy color image segmentation,61,2013, Elsevier, Pattern Recognition …,https://www.sciencedirect.com/science/article/pii/S0167865512003340,5
90,"Y Sirisathitkul, S Auwatanamongkol…",Color image quantization using distances between adjacent colors along the color axis with highest color variance,59,2004, Elsevier, Pattern Recognition …,https://www.sciencedirect.com/science/article/pii/S0167865504000595,3
3,"Q Wen, ME Celebi",Hard versus fuzzy c-means clustering for color quantization,54,2011, Springer, EURASIP Journal on Advances in Signal Processing,https://link.springer.com/article/10.1186/1687-6180-2011-118,4
84,"N Gkalelis, A Tefas, I Pitas",Combining fuzzy vector quantization with linear discriminant analysis for continuous human movement recognition,48,2008, ieeexplore.ieee.org, … on Circuits and Systems for Video …,https://ieeexplore.ieee.org/abstract/document/4630765/,3
44,ME Celebi,An Effective Color Quantization Method Based on the Competitive Learning Paradigm.,48,2009, Citeseer, IPCV,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ca573d3377f7e843b8569e4396787549730af101,3
30,"A Abernathy, ME Celebi",The incremental online k-means clustering algorithm and its application to color quantization,45,2022, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417422011708,11
76,"R Kaur, A Girdhar, S Gupta",Color image quantization based on bacteria foraging optimization,44,2011, researchgate.net, International Journal of Computer …,https://www.researchgate.net/profile/Surbhi-Gupta-26/publication/253461743_Color_Image_Quantization_based_on_Bacteria_Foraging_Optimization/links/57ed477908ae711da939956a/Color-Image-Quantization-based-on-Bacteria-Foraging-Optimization.pdf,3
27,SA El-Said,Image quantization using improved artificial fish swarm algorithm,42,2015, Springer, Soft Computing,https://link.springer.com/article/10.1007/s00500-014-1436-0,4
42,"S Thompson, ME Celebi, KH Buck",Fast color quantization using MacQueen's k-means algorithm,42,2020, Springer,Time Image …,https://link.springer.com/article/10.1007/s11554-019-00914-6,7
13,"ME Celebi, Q Wen, S Hwang",An effective real-time color quantization method based on divisive hierarchical clustering,40,2015, Springer,Time Image Processing,https://link.springer.com/article/10.1007/s11554-012-0291-4,4
37,"H Le Capitaine, C Frélicot",A fast fuzzy c-means algorithm for color image segmentation,40,2011, hal.science, EUSFLAT'2011,https://hal.science/hal-00738414/,3
55,"J Chamorro-Martínez, JM Soto-Hidalgo…",Fuzzy color spaces: A conceptual approach to color vision,34,2016, ieeexplore.ieee.org, … on Fuzzy Systems,https://ieeexplore.ieee.org/abstract/document/7572922/,3
59,"J Chamorro-Martínez, D Sánchez…",A discussion on fuzzy cardinality and quantification. Some applications in image processing,33,2014, Elsevier, Fuzzy Sets and …,https://www.sciencedirect.com/science/article/pii/S0165011413002285,3
46,ML Pérez-Delgado,The color quantization problem solved by swarm-based operations,33,2019, Springer, Applied Intelligence,https://link.springer.com/article/10.1007/s10489-018-1389-6,5
34,"L Feng, H Li, Y Gao, Y Zhang",A color image segmentation method based on region salient color and fuzzy c-means algorithm,31,2020, Springer, Circuits  Systems  and Signal Processing,https://link.springer.com/article/10.1007/s00034-019-01126-w,5
51,"P Bian, Y Jin, N Zhang",Fuzzy c-means clustering based digital camouflage pattern design and its evaluation,30,2010, ieeexplore.ieee.org, IEEE 10th International conference on …,https://ieeexplore.ieee.org/abstract/document/5655856/,2
14,"MM Islam, D Zhang, G Lu",Automatic categorization of image regions using dominant color based vector quantization,29,2008, ieeexplore.ieee.org, 2008 Digital Image Computing …,https://ieeexplore.ieee.org/abstract/document/4700020/,2
11,"D Tsolakis, GE Tsekouras, J Tsimikas",Fuzzy vector quantization for image compression based on competitive agglomeration and a novel codeword migration strategy,29,2012, Elsevier, Engineering applications of artificial …,https://www.sciencedirect.com/science/article/pii/S0952197611001679,2
53,"EJ Palomo, E Domínguez",Hierarchical color quantization based on self-organization,28,2014, Springer, Journal of mathematical imaging and vision,https://link.springer.com/article/10.1007/s10851-013-0433-8,2
69,"XD Yue, DQ Miao, LB Cao, Q Wu, YF Chen",An efficient color quantization based on generic roughness measure,28,2014, Elsevier, Pattern Recognition,https://www.sciencedirect.com/science/article/pii/S0031320313005037,2
93,"N Kim, N Kehtarnavaz",DWT-based scene-adaptive color quantization,26,2005, Elsevier,Time Imaging,https://www.sciencedirect.com/science/article/pii/S1077201405000446,1
40,"D Yazdani, H Nabizadeh…",Color quantization using modified artificial fish swarm algorithm,26,2011, Springer, AI 2011: Advances in …,https://link.springer.com/chapter/10.1007/978-3-642-25832-9_39,2
1,"Z Liu, F Ding, Y Xu, X Han",Background dominant colors extraction method based on color image quick fuzzy c-means clustering algorithm,24,2021, Elsevier, Defence Technology,https://www.sciencedirect.com/science/article/pii/S2214914720304608,5
39,"L Szilágyi, G Dénesi, SM Szilágyi",Fast color reduction using approximative c-means clustering models,23,2014, ieeexplore.ieee.org,IEEE …,https://ieeexplore.ieee.org/abstract/document/6891638/,2
91,KK Bhoyar,Color Image Segmentation using Fast Fuzzy C-Means Algorithm,22,2010, elcvia.cvc.uab.es, ELCVIA Electronic Letters on Computer Vision and …,https://elcvia.cvc.uab.es/article/view/361,1
16,"F Chung, BYM Fung",Fuzzy color quantization and its application to scene change detection,21,2003, dl.acm.org, Proceedings of the 5th ACM SIGMM international …,https://dl.acm.org/doi/abs/10.1145/973264.973290,1
41,ML Pérez-Delgado,Color quantization with particle swarm optimization and artificial ants,20,2020, Springer, Soft Computing,https://link.springer.com/article/10.1007/s00500-019-04216-8,3
65,"WS Ooi, CP Lim",Fuzzy clustering of color and texture features for image segmentation: a study on satellite image retrieval,19,2006, content.iospress.com, Journal of Intelligent & Fuzzy Systems,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs00299,1
7,"A Khaled, RF Abdel-Kader…",A hybrid color image quantization algorithm based on k-means and harmony search algorithms,19,2016, Taylor & Francis, Applied Artificial …,https://www.tandfonline.com/doi/abs/10.1080/08839514.2016.1169049,2
24,"L Szilágyi, G Dénesi, L Kovács…",Comparison of Various Improved-Partition Fuzzy c-Means Clustering Algorithms in Fast Color Reduction,19,2014, ieeexplore.ieee.org, 2014 IEEE 12th …,https://ieeexplore.ieee.org/abstract/document/6923585/,2
94,"X Yang, H Ren, B Li",Embedded zerotree wavelets coding based on adaptive fuzzy clustering for image compression,19,2008, Elsevier, Image and Vision Computing,https://www.sciencedirect.com/science/article/pii/S0262885607001540,1
50,"G Ramella, G SANNITI DI BAJA",A new technique for color quantization based on histogram analysis and clustering,19,2013, World Scientific, International Journal of Pattern …,https://www.worldscientific.com/doi/abs/10.1142/S0218001413600069,1
62,"K Deshmukh, G Shinde",Adaptive Color Image Segmentation Using Fuzzy Min-Max Clustering.,18,2006, Citeseer, Engineering letters,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=1f033ab8dbe95a3622c783878a7121b383ac17be,1
